name,price,status,shipping,free_returns,items_sold
"11.8"" Brown Plush Doll Teddy Bear Stuffed Animal Toy Birthday Valentines Gift",1399,Brand New,0,False,
10'' Brown Plush Teddy Bear Stuffed Animal Doll Soft Plushies Toy Christmas Gift,1199,Brand New,0,True,
New ListingBuild a Bear and Teddy Bear,1499,Pre-Owned,0,False,
LED Light Gift For Girl Her Girlfriend Wife Woman Mom - Love Birthday Teddy Bear,1399,Brand New,0,True,
New ListingThomas white Xmas teddy bear with scarf ,99,Pre-Owned,0,False,
"New ListingHugfun 11"" Blue White Baseball Teddy Bear Baby Rattle Plush ",1299,Pre-Owned,0,False,
"New ListingBurton & Burton White Teddy Bear Plush Stuffed Animal 6"" Red Bow All Ages  #8",699,Pre-Owned,0,False,
12'' Plush Teddy Bear Stuffed Animals Soft Plushies Toy Kids Christmas Gifts,1299,Brand New,0,True,
New ListingEDEN VINTAGE 1996 CORDUROY BROWN TEDDY BEAR GREEN OVERALL STUFFED PLUSH TOY,2000,Pre-Owned,0,False,
"New Listing25"" Hugfun Plush Teddy Bear Caramel Color NWT",2500,Brand New,0,False,
hb teddy bear,300,Pre-Owned,0,False,
IKEA Djungelskog Bear Soft toy ORIGINAL Brown100cm Animal Stuffed Teddy GIFT,5550,Brand New,0,False,106
New ListingWishpets 2010 RASBERRY Purple Teddy Bear Plush Stuffed Animal Soft Cuddly ~ NWT~,1500,Brand New,0,False,
17'' Doll Cuddly Brown Teddy Bear Stuffed Animal Christmas Gift Plush Plushies,1999,Brand New,0,True,
TY Beanie Baby - PRINCESS DIANA the Purple Teddy Bear (1997 -RETIRED) MWMTs MINT,2189,Brand New,0,False,
New ListingTeddy Bear Plush Commonwealth 14” ,2500,Pre-Owned,0,True,
"New ListingAdorable plush Teddy Bear, 17” Tall",1200,Pre-Owned,0,False,
New Listingteddy bear stuffed animal,300,Pre-Owned,0,False,
New ListingNAPCO Brown Teddy Bear Soft Plush with Satin Bow Stuffed Toy,1099,Pre-Owned,0,False,
Build-A-Bear Workshop 15” Teddy Bear Plush Stuffed Animal Tan Preowned,1497,Pre-Owned,0,True,
"New ListingVintage Hallmark  Collectable Teddy Bear ""Tyler"" . Tan With Vest And Bow Toe.",399,Pre-Owned,0,False,
IKEA Brunbjorn - Teddy Bear - Soft Brown Stuffed Animal Plush NEW (Read Details),2495,Brand New,0,False,
New ListingNici Brown Teddy Bear Plush,1085,Pre-Owned,0,False,
"New ListingChelsea Beige Teddy Bear 8"" ""Some One at Texas State Loves You"" with tags #8",1399,Pre-Owned,0,False,
ROYALE HIGH - HALO & ACCESSORIES & SET &  DIAMONDS - RH |(RESTOCKED)| ,499,Brand New,0,False,
"New ListingTeddy Bear Plush Stuffed Animal red putfit 12"" White bear",595,Pre-Owned,0,False,
TEDDY RUXPIN OFFICIAL RETURN OF THE STORYTIME & MAGICAL BEAR *DISTRESSED PKG,12999,Brand New,0,False,
New ListingVintage Large Knickerbocker Animals of Distinction Plush Teddy Bear A200,99,Pre-Owned,0,False,
Teddy Bear Sunflower Seeds | Non-GMO | Heirloom | Fresh Garden Seeds,248,,0,False,426
New ListingKNEELING PRAYER TEDDY BEAR Now I Lay Me Down to Sleep Prays Talks Plush PreOwned,1299,Pre-Owned,0,False,
"New ListingAnimal Adventure Pink Red Teddy Bear Plush 9"" Red Heart Paw Stuffed Animal Toy",550,Pre-Owned,0,True,
"New ListingGUND Lindt Chocolate 1986 Black Teddy Bear Plush 8"" Plaid Scarf Stuffed Animal",999,Pre-Owned,0,True,
"New ListingStuffed Animal House Teddy Bear Child's Overnight Back Pack Pajama Bag Plush 18""",2000,Brand New,0,False,
2019 Ralph Lauren Romance Teddy Bear Limited Ed Stuffed Animal Logo Sweater Toy,1989,Pre-Owned,0,False,
New ListingAURORA Brown Teddy Bear Christmas Holiday Red Bow Plush Stuffed Animal Preowned,1395,Pre-Owned,0,False,
Polar Express TEDDY BEAR White Fuzzy 10” Plush 2015 Red Green Stuffed Animal,2404,Brand New,0,False,
"A&A Plush INC Compton Teddy Bear Super Soft 18"" Plush Brown Stuffed Animal w/tee",200,Pre-Owned,0,False,
LEGO - Teddy Bear & Panda Lot - Brown Black White Stuffed Animal Pet Minifigure ,349,Brand New,0,True,26
20'' Cute Teddy Bear Stuffed Animals White Plush Toy Gifts for Girls Girlfriend,2699,Brand New,0,True,
"New ListingBuild-A-Bear Workshop HAPPY BIRTHDAY Teddy 15"" BABW Plush Stuffed Animal 2019 US",1195,Pre-Owned,0,False,
New ListingKids of America Corp Pink Teddy Bear Sitting Plush Animal Bow Hearts 2016 #P0320,1700,Pre-Owned,0,True,
Miniature Teddy Bear Ornaments - 12 pc. Assorted Set,3295,Brand New,0,False,
New ListingM&M's World Valentine's Stuffed Animal Plush Toy Brown Teddy Bear Holding Heart,1449,Pre-Owned,0,False,
"New ListingNEW Jungle Joes's Safari Friends Jungle Joe 12"" Plush Teddy Bear with Backpack",99,Brand New,0,False,
"New ListingSugar Loaf 1995 Clown Teddy Bear Plush Stuffed Animal Toy 16""",595,Pre-Owned,0,False,
Sparkling Teddy Bear Pendant Rose Gold Pave Cubic Zirconia Chain Necklace,1299,Brand New,0,False,
New ListingSoft Things Plush Teddy Bear Jester ,595,Pre-Owned,0,False,
(1655) TWO Individual Paper LUNCHEON Decoupage Napkins - CHRISTMAS TEDDY BEAR,195,Brand New,0,False,
New Listingcircus circus las vegas floral teddy bear,799,Pre-Owned,0,False,
"Mark Roberts Elves - Teddy Bear Elf 51-05544 Small 10.5"" Figurine ",6860,Brand New,0,False,
New Listingteddy bear stuffed animal,2000,Pre-Owned,0,False,
New ListingBuddy Balls Teddy Bear Soft Plush Animal Convertible Stuffed Toy Gift White New,1499,Brand New,0,False,
"New ListingRuss Berrie Shining Stars 2006 small 9"" cream white teddy bear plush beanbag",1000,Pre-Owned,0,False,
New ListingSmall  5 Inch Teddy Bear Halloween Plush,99,Brand New,0,False,
New ListingVintage Russ Berrie Teddy Bear Rattle Plush Toy 8” Yellow PJs (some cleaning),1200,Pre-Owned,0,True,
"New ListingPlush Teddy Bear Spark Create MTY International Gray 13""  Walmart",1050,Pre-Owned,0,True,
Womens Teddy Bear Fluffy Faux Fur Leopard Jacket Fleece Coat Overcoat Outwear US,2719,Brand New,0,False,
"New ListingCorduroy Vintage 1996 Eden Toy Inc Brown Green Overalls Teddy Bear Plush 16""",1699,Pre-Owned,0,False,
"Ultimate Teddy Bear Book - Hardcover By Cockrill, Pauline - GOOD",359,,0,True,
New ListingGibson Greetings Teddy Hugglesbie Bear Plush Graduation Graduate Stuffed Animal,795,Pre-Owned,0,True,
"New Listing13"" Teddy Bear Museum Pastel Rattle Bib Plush Stuffed Animal Baby Lovey Toy ",3995,Pre-Owned,0,True,
"New ListingGood Stuff Teddy Bear Snow Suit Plush 12"" White Gold Buttons Green Trim",1099,Pre-Owned,0,True,
"New ListingChristmas Teddy Bear Stuffed Plush Dark Brown Bow Tie 11"" Aurora ",1699,Pre-Owned,0,False,
New ListingVintage MTY International Tan Teddy Bear Plush Stuffed Animal Green Bow,1349,Pre-Owned,0,True,
New ListingVintage Rhode Island Novelty Blue Sparkle Teddy Bear Stuffed Animal Plush Toy,999,Pre-Owned,0,False,
"New ListingTeddy Bear 28"" Goffa International Plush Stuffed Toy",2800,Pre-Owned,0,True,
"New ListingDan Dee Teddy Bear Plush 18""",1680,Pre-Owned,0,True,
"New ListingHallmark Love Ya Tie-dye T-Shirt Plush Light Brown Teddy Bear Stuffed Animal 8"" ",1590,Pre-Owned,0,False,
New ListingHerrington teddy bear Cheescake Factory,1199,Pre-Owned,0,False,
New ListingVintage christmas teddy bear With Backpack plush toys stuffed animal,1200,Pre-Owned,0,True,
New ListingPrima Collections TEDDY BEAR Holding a Red Heart Fake Fur Valentine's Day EUC,2199,Pre-Owned,0,False,
New ListingGood Stuff Plush Santa Teddy Bear Toy Red Hat Green Scarf Christmas .,960,Pre-Owned,0,False,
"Schmidt Cannon Christmas Teddy Bear Plush 8"" Tall Holiday Stuffed Animal Xmas",699,Pre-Owned,0,False,
"New ListingGanz Pitton Brown Teddy Bear Plush 10"" ",1125,Pre-Owned,0,True,
Wedding Rose Teddy Bear With Box for Women Valentines Girlfriend Birthday Gifts,1999,Brand New,0,True,41
Shop on eBay,2000,Brand New,0,False,
"New ListingGanz Pitton Brown Teddy Bear Plush 10"" ",1125,Pre-Owned,0,True,
Wedding Rose Teddy Bear With Box for Women Valentines Girlfriend Birthday Gifts,1999,Brand New,0,True,41
Women Warm Teddy Bear Fluffy Coat Ladies Hooded Fleece Jacket Outwear Plus Size,1372,Brand New,0,False,
Hugfun International Stuffed Plush Teddy Bear 14 Inch Cream Beige,1279,Pre-Owned,0,False,
New ListingVintage christmas teddy bear With Backpack plush toys stuffed animal,1200,Pre-Owned,0,True,
New ListingPrima Collections TEDDY BEAR Holding a Red Heart Fake Fur Valentine's Day EUC,2199,Pre-Owned,0,False,
New ListingGood Stuff Plush Santa Teddy Bear Toy Red Hat Green Scarf Christmas .,960,Pre-Owned,0,False,
"Schmidt Cannon Christmas Teddy Bear Plush 8"" Tall Holiday Stuffed Animal Xmas",699,Pre-Owned,0,False,
Womens Teddy Bear Fluffy Faux Fur Leopard Jacket Fleece Coat Overcoat Outwear US,2719,Brand New,0,False,
